,Constituency,Ward,Relativity
630,Gatanga,Kakuzi/Mitubiri,1.0
631,Gatanga,Mugumo-Ini,1.0
632,Gatanga,Kihumbu-Ini,1.0
633,Gatanga,Gatanga,1.0
634,Gatanga,Kariara,1.0
635,Gatundu South,Kiamwangi,1.0
636,Gatundu South,Kiganjo,1.0
637,Gatundu South,Ndarugu,1.0
638,Gatundu South,Ngenda,1.0
639,Gatundu North,Gituamba,1.0
640,Gatundu North,Githobokoni,1.0
641,Gatundu North,Chania,1.0
642,Gatundu North,Mang'U,1.0
643,Juja,Murera,1.0
644,Juja,Theta,1.0
645,Juja,Juja,1.0
646,Juja,Witeithie,1.0
647,Juja,Kalimoni,1.0
648,Thika Town,Township,1.0
649,Thika Town,Kamenu,1.0
650,Thika Town,Hospital,1.0
651,Thika Town,Gatuanyaga,1.0
652,Thika Town,Ngoliba,1.0
653,Ruiru,Gitothua,1.0
654,Ruiru,Biashara,1.0
655,Ruiru,Kiuu,1.0
656,Githunguri,Githunguri,1.0
657,Githunguri,Githiga,1.0
658,Githunguri,Ikinu,1.0
659,Githunguri,Ngewa,1.0
660,Githunguri,Komothai,1.0
661,Kiambu,Ting'Ang'A,1.0
662,Kiambu,Ndumberi,1.0
663,Kiambu,Riabai,1.0
664,Kiambu,Township,1.0
665,Kiambaa,Cianda,1.0
666,Kiambaa,Karuri,1.0
667,Kiambaa,Ndenderu,1.0
668,Kiambaa,Muchatha,1.0
669,Kiambaa,Kihara,1.0
670,Kabete,Gitaru,1.0
671,Kabete,Muguga,1.0
672,Kabete,Nyadhuna,1.0
673,Kabete,Kabete,1.0
674,Kabete,Uthiru,1.0
675,Kikuyu,Karai,1.0
676,Kikuyu,Nachu,1.0
677,Kikuyu,Sigona,1.0
678,Kikuyu,Kikuyu,1.0
679,Kikuyu,Kinoo,1.0
680,Limuru,Bibirioni,1.0
681,Limuru,Limuru Central,1.0
682,Limuru,Ndeiya,1.0
683,Limuru,Limuru East,1.0
684,Limuru,Ngecha Tigoni,1.0
685,Lari,Kinale,1.0
686,Lari,Kijabe,1.0
687,Lari,Nyanduma,1.0
688,Lari,Kamburu,1.0
689,Lari,Lari/Kirenga,1.0
690,Turkana North,Kaeris,1.0
691,Turkana North,Lake Zone,1.0
692,Turkana North,Lapur,1.0
693,Turkana North,Kaikor/Kaaleng,1.0
694,Turkana North,Kibish,1.0
695,Turkana North,Nakalale,1.0
696,Turkana West,Kakuma,1.0
697,Turkana West,Lopur,1.0
698,Turkana West,Letea,1.0
699,Turkana West,Songot,1.0
700,Turkana West,Kalobeyei,1.0
701,Turkana West,Lokichoggio,1.0
702,Turkana West,Nanaam,1.0
703,Turkana Central,Kerio Delta,1.0
704,Turkana Central,Kangatotha,1.0
705,Turkana Central,Kalokol,1.0
706,Turkana Central,Lodwar Township,1.0
707,Turkana Central,Kanamkemer,1.0
708,Loima,Kotaruk/Lobei,1.0
709,Loima,Turkwel,1.0
710,Loima,Loima,1.0
711,Loima,Lokiriama/Lorengippi,1.0
712,Turkana South,Kaputir,1.0
713,Turkana South,Katilu,1.0
714,Turkana South,Lobokat,1.0
715,Turkana South,Kalapata,1.0
716,Turkana South,Lokichar,1.0
717,Turkana East,Kapedo/Napeitom,1.0
718,Turkana East,Katilia,1.0
719,Kapenguria,Riwo,1.0
720,Kapenguria,Kapenguria,1.0
721,Kapenguria,Mnagei,1.0
722,Kapenguria,Siyoi,1.0
723,Kapenguria,Endugh,1.0
724,Kapenguria,Sook,1.0
725,Sigor,Sekerr,1.0
726,Sigor,Masool,1.0
727,Sigor,Lomut,1.0
728,Sigor,Weiwei,1.0
729,Kacheliba,Suam,1.0
730,Kacheliba,Kodich,1.0
731,Kacheliba,Kasei,1.0
732,Kacheliba,Kapchok,1.0
733,Kacheliba,Kiwawa,1.0
734,Kacheliba,Alale,1.0
735,Pokot South,Chepareria,1.0
736,Pokot South,Batei,1.0
737,Pokot South,Lelan,1.0
738,Pokot South,Tapach,1.0
739,Samburu West,Lodokejek,1.0
740,Samburu West,Suguta Marmar,1.0
741,Samburu West,Maralal,1.0
742,Samburu West,Loosuk,1.0
743,Samburu West,Porro,1.0
744,Samburu North,El-Barta,1.0
745,Samburu North,Nachola,1.0
746,Samburu North,Ndoto,1.0
747,Samburu North,Nyiro,1.0
